no,video_id,yielding,eHMIOn,distPed,p1,p2,camera,group,video_length,condition_name,yield_start_time_s,yield_start_carDist_m,yield_start_speed_kmh,yield_start_dP1_m,yield_start_dP2_m,yield_stop_time_s,yield_stop_carDist_m,yield_stop_speed_kmh,yield_stop_dP1_m,yield_stop_dP2_m,yield_resume_time_s,yield_resume_carDist_m,yield_resume_speed_kmh,yield_resume_dP1_m,yield_resume_dP2_m,yield_end_time_s,yield_end_carDist_m,yield_end_speed_kmh,yield_end_dP1_m,yield_end_dP2_m,cross_p2_time_s,cross_p2_carDist_m,cross_p2_speed_kmh,cross_p2_pedDist_m,cross_p1_time_s,cross_p1_carDist_m,cross_p1_speed_kmh,cross_p1_pedDist_m
1,baseline_1,0,1,3,0,0,1,1,11000,"No yielding, eHMI on, Distance 3, Cannot see other person",,,,,,,,,,,,,,,,,,,,,9.58,103.1,50.2,6.0,10.0,109.0,50.5,6.0
2,baseline_2,1,0,0,0,0,0,1,18000,"Yes yielding, eHMI off, Distance 0, Can see other person",6.42,68.49,46.76,44.53,42.83,11.68,99.93,0.0,13.31,11.65,14.18,100.05,0.9,13.19,11.53,15.58,110.41,25.83,3.77,2.92,15.66,111.3,25.8,1.71,15.8,113.2,46.6,1.71
3,video_1,1,0,1,0,1,0,1,18000,"Yes yielding, eHMI off, Distance 1, Can see other person",5.76,60.21,50.21,44.8,42.81,11.82,99.93,0.0,5.76,4.14,14.32,100.33,2.92,5.41,3.85,14.76,102.04,2.92,4.05,2.97,14.92,103.1,15.3,2.0,15.18,105.3,15.3,2.0
4,video_2,1,0,2,0,1,0,1,18000,"Yes yielding, eHMI off, Distance 2, Can see other person",5.76,60.21,48.84,46.81,42.81,11.68,99.93,0.0,7.56,4.14,14.18,100.05,0.9,7.45,4.05,14.74,101.98,11.76,5.71,2.99,14.9,102.9,11.8,4.0,15.36,107.4,25.7,4.0
5,video_3,1,0,3,0,1,0,1,18000,"Yes yielding, eHMI off, Distance 3, Can see other person",5.76,60.05,49.79,48.97,42.98,11.46,99.93,0.4,9.45,4.14,14.46,100.75,5.91,8.66,3.59,14.74,101.97,5.91,7.51,2.99,14.92,103.1,5.9,6.0,15.5,109.3,38.8,6.0
6,video_4,1,0,4,0,1,0,1,18000,"Yes yielding, eHMI off, Distance 4, Can see other person",5.76,60.1,48.48,50.91,42.92,11.52,99.93,0.0,11.37,4.14,14.52,100.98,7.58,10.35,3.45,14.74,102.01,7.58,9.36,2.98,14.92,103.0,7.6,8.0,15.66,111.3,41.6,8.0
7,video_5,1,0,5,0,1,0,1,18000,"Yes yielding, eHMI off, Distance 5, Can see other person",5.76,60.12,49.5,52.89,42.9,11.48,99.93,0.33,13.31,4.14,14.48,100.82,6.43,12.44,3.54,14.78,102.16,6.43,11.14,2.94,14.92,103.0,6.4,10.0,15.8,113.1,41.2,10.0
8,video_6,1,0,1,1,0,1,1,18000,"Yes yielding, eHMI off, Distance 1, Cannot see other person",5.76,60.2,49.01,44.82,42.82,11.72,99.93,0.0,5.76,4.14,14.22,100.1,1.22,5.61,4.02,14.78,102.2,12.39,3.93,2.92,14.92,103.0,12.4,2.0,15.2,105.4,12.4,2.0
9,video_7,1,0,2,1,0,1,1,18000,"Yes yielding, eHMI off, Distance 2, Cannot see other person",5.78,60.27,50.27,46.75,42.76,11.86,99.93,0.0,7.56,4.14,14.36,100.36,3.11,7.16,3.84,14.74,101.98,3.11,5.71,2.99,14.92,103.1,16.2,4.0,15.36,107.2,33.3,4.0
10,video_8,1,0,3,1,0,1,1,18000,"Yes yielding, eHMI off, Distance 3, Cannot see other person",5.76,60.2,50.14,48.81,42.82,11.5,99.93,0.04,9.45,4.14,14.5,100.89,6.95,8.53,3.5,14.74,101.99,6.95,7.5,2.98,14.92,103.0,7.0,6.0,15.5,109.3,41.4,6.0
