Timestamp, LeftPositionX, LeftPositionY, LeftPositionZ, LeftRotationX, LeftRotationY, LeftRotationZ, LeftRotationW, LeftVelocityX, LeftVelocityY, LeftVelocityZ, LeftAngularVelocityX, LeftAngularVelocityY, LeftAngularVelocityZ, LeftAccelerationX, LeftAccelerationY, LeftAccelerationZ, LeftAngularAccelerationX, LeftAngularAccelerationY, LeftAngularAccelerationZ, RightPositionX, RightPositionY, RightPositionZ, RightRotationX, RightRotationY, RightRotationZ, RightRotationW, RightVelocityX, RightVelocityY, RightVelocityZ, RightAngularVelocityX, RightAngularVelocityY, RightAngularVelocityZ, RightAccelerationX, RightAccelerationY, RightAccelerationZ, RightAngularAccelerationX, RightAngularAccelerationY, RightAngularAccelerationZ, HMDPositionX, HMDPositionY, HMDPositionZ, HMDRotationX, HMDRotationY, HMDRotationZ, HMDRotationW, HMDVelocityX, HMDVelocityY, HMDVelocityZ, HMDAngularVelocityX, HMDAngularVelocityY, HMDAngularVelocityZ, HMDAccelerationX, HMDAccelerationY, HMDAccelerationZ, HMDAngularAccelerationX, HMDAngularAccelerationY, HMDAngularAccelerationZ, LeftEyePositionX, LeftEyePositionY, LeftEyePositionZ, LeftEyeRotationX, LeftEyeRotationY, LeftEyeRotationZ, LeftEyeRotationW, LeftEyeVelocityX, LeftEyeVelocityY, LeftEyeVelocityZ, LeftEyeAngularVelocityX, LeftEyeAngularVelocityY, LeftEyeAngularVelocityZ, LeftEyeAccelerationX, LeftEyeAccelerationY, LeftEyeAccelerationZ, LeftEyeAngularAccelerationX, LeftEyeAngularAccelerationY, LeftEyeAngularAccelerationZ, RightEyePositionX, RightEyePositionY, RightEyePositionZ, RightEyeRotationX, RightEyeRotationY, RightEyeRotationZ, RightEyeRotationW, RightEyeVelocityX, RightEyeVelocityY, RightEyeVelocityZ, RightEyeAngularVelocityX, RightEyeAngularVelocityY, RightEyeAngularVelocityZ, RightEyeAccelerationX, RightEyeAccelerationY, RightEyeAccelerationZ, RightEyeAngularAccelerationX, RightEyeAngularAccelerationY, RightEyeAngularAccelerationZ, CenterEyePositionX, CenterEyePositionY, CenterEyePositionZ, CenterEyeRotationX, CenterEyeRotationY, CenterEyeRotationZ, CenterEyeRotationW, CenterEyeVelocityX, CenterEyeVelocityY, CenterEyeVelocityZ, CenterEyeAngularVelocityX, CenterEyeAngularVelocityY, CenterEyeAngularVelocityZ, CenterEyeAccelerationX, CenterEyeAccelerationY, CenterEyeAccelerationZ, CenterEyeAngularAccelerationX, CenterEyeAngularAccelerationY, CenterEyeAngularAccelerationZ, PrimaryButtonStateLeft, SecondaryButtonStateLeft, PrimaryTouchStateLeft, SecondaryTouchStateLeft, PrimaryButtonStateRight, SecondaryButtonStateRight, PrimaryTouchStateRight, SecondaryTouchStateRight, TriggerValueLeft, GripValueLeft, TriggerValueRight, GripValueRight
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,False,False,False,False,False,False,False,False,0,0,0,0
0.02,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2297831,-0.3333637,0.1423207,-0.1886155,0.2820208,-0.1759789,0.9240778,-0.1553692,0.1724665,-0.04789097,1.483387,0.2111553,-1.804145,0,0,0,0,0,0,-0.1612447,-0.04134187,-0.1919332,-0.1074845,-0.2818792,0.2251791,0.9264371,-0.1668094,-0.02192344,-0.07662262,-0.1599518,0.9431466,-0.1074382,-8.340468,-1.096172,-3.831131,-7.997588,47.15733,-5.371908,-0.1612447,-0.04134187,-0.1919332,-0.1074845,-0.2818792,0.2251791,0.9264371,-0.1668094,-0.02192344,-0.07662262,-0.1599518,0.9431466,-0.1074382,-8.340468,-1.096172,-3.831131,-7.997588,47.15733,-5.371908,-0.1612447,-0.04134187,-0.1919332,-0.1074845,-0.2818792,0.2251791,0.9264371,-0.1668094,-0.02192344,-0.07662262,-0.1599518,0.9431466,-0.1074382,-8.340468,-1.096172,-3.831131,-7.997588,47.15733,-5.371908,-0.1612447,-0.04134187,-0.1919332,-0.1074845,-0.2818792,0.2251791,0.9264371,-0.1668094,-0.02192344,-0.07662262,-0.1599518,0.9431466,-0.1074382,-8.340468,-1.096172,-3.831131,-7.997588,47.15733,-5.371908,False,False,False,False,False,False,False,False,0,0,0,0
0.04,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2177687,-0.3310437,0.1414571,-0.1850846,0.2720155,-0.123638,0.936197,-0.2377617,0.02594164,0.03742163,-0.2434928,0.9321046,-1.023149,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,3.771424,1.191015,0.7220991,3.504646,-18.55251,13.60371,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,3.771424,1.191015,0.7220991,3.504646,-18.55251,13.60371,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,3.771424,1.191015,0.7220991,3.504646,-18.55251,13.60371,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,3.771424,1.191015,0.7220991,3.504646,-18.55251,13.60371,False,False,False,False,False,False,False,False,0,0,0,0
0.06,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2177687,-0.3310437,0.1414571,-0.1850846,0.2720155,-0.123638,0.936197,-0.2377617,0.02594164,0.03742163,-0.2434928,0.9321046,-1.023149,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.08,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2177687,-0.3310437,0.1414571,-0.1850846,0.2720155,-0.123638,0.936197,-0.2377617,0.02594164,0.03742163,-0.2434928,0.9321046,-1.023149,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,-0.1703719,-0.04160221,-0.1969808,-0.1128353,-0.3077435,0.2196192,0.9188741,-0.09138089,0.001896866,-0.06218064,-0.08985885,0.5720964,0.1646359,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.09999999,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.2038612,-0.3314311,0.1422855,-0.1717849,0.2415144,-0.06683809,0.9527295,-0.2841415,0.03027326,0.04495316,-0.09578641,1.244917,-1.608655,0,0,0,0,0,0,-0.1738138,-0.04059299,-0.2001461,-0.1167036,-0.3200345,0.2085119,0.9167775,-0.05816015,0.01119345,-0.04791572,-0.06868488,0.3975922,0.2796495,1.661038,0.4648295,0.7132463,1.058699,-8.725213,5.750678,-0.1738138,-0.04059299,-0.2001461,-0.1167036,-0.3200345,0.2085119,0.9167775,-0.05816015,0.01119345,-0.04791572,-0.06868488,0.3975922,0.2796495,1.661038,0.4648295,0.7132463,1.058699,-8.725213,5.750678,-0.1738138,-0.04059299,-0.2001461,-0.1167036,-0.3200345,0.2085119,0.9167775,-0.05816015,0.01119345,-0.04791572,-0.06868488,0.3975922,0.2796495,1.661038,0.4648295,0.7132463,1.058699,-8.725213,5.750678,-0.1738138,-0.04059299,-0.2001461,-0.1167036,-0.3200345,0.2085119,0.9167775,-0.05816015,0.01119345,-0.04791572,-0.06868488,0.3975922,0.2796495,1.661038,0.4648295,0.7132463,1.058699,-8.725213,5.750678,False,False,False,False,False,False,False,False,0,0,0,0
0.12,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1980905,-0.3321717,0.1426868,-0.1661255,0.2267223,-0.03499296,0.9590489,-0.2966105,0.0263432,0.04529507,-0.04742941,1.348506,-1.820413,0,0,0,0,0,0,-0.1739975,-0.03974766,-0.2008737,-0.1183988,-0.3224363,0.2035672,0.9168299,-0.04489264,0.01641382,-0.04161952,-0.04567449,0.331268,0.3158408,0.6633756,0.261018,0.3148095,1.150519,-3.316207,1.809567,-0.1739975,-0.03974766,-0.2008737,-0.1183988,-0.3224363,0.2035672,0.9168299,-0.04489264,0.01641382,-0.04161952,-0.04567449,0.331268,0.3158408,0.6633756,0.261018,0.3148095,1.150519,-3.316207,1.809567,-0.1739975,-0.03974766,-0.2008737,-0.1183988,-0.3224363,0.2035672,0.9168299,-0.04489264,0.01641382,-0.04161952,-0.04567449,0.331268,0.3158408,0.6633756,0.261018,0.3148095,1.150519,-3.316207,1.809567,-0.1739975,-0.03974766,-0.2008737,-0.1183988,-0.3224363,0.2035672,0.9168299,-0.04489264,0.01641382,-0.04161952,-0.04567449,0.331268,0.3158408,0.6633756,0.261018,0.3148095,1.150519,-3.316207,1.809567,False,False,False,False,False,False,False,False,0,0,0,0
0.14,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1957815,-0.3329849,0.1429533,-0.1643427,0.2200862,-0.01814079,0.9613659,-0.291163,0.02040953,0.04481785,0.01149807,1.355074,-1.900406,0,0,0,0,0,0,-0.1734907,-0.03968969,-0.201177,-0.1179478,-0.3220251,0.2006507,0.917675,-0.02516664,0.02027215,-0.03457047,-0.06044295,0.2423094,0.335059,0.9862998,0.1929166,0.3524525,-0.738423,-4.447933,0.9609116,-0.1734907,-0.03968969,-0.201177,-0.1179478,-0.3220251,0.2006507,0.917675,-0.02516664,0.02027215,-0.03457047,-0.06044295,0.2423094,0.335059,0.9862998,0.1929166,0.3524525,-0.738423,-4.447933,0.9609116,-0.1734907,-0.03968969,-0.201177,-0.1179478,-0.3220251,0.2006507,0.917675,-0.02516664,0.02027215,-0.03457047,-0.06044295,0.2423094,0.335059,0.9862998,0.1929166,0.3524525,-0.738423,-4.447933,0.9609116,-0.1734907,-0.03968969,-0.201177,-0.1179478,-0.3220251,0.2006507,0.917675,-0.02516664,0.02027215,-0.03457047,-0.06044295,0.2423094,0.335059,0.9862998,0.1929166,0.3524525,-0.738423,-4.447933,0.9609116,False,False,False,False,False,False,False,False,0,0,0,0
0.16,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1942805,-0.3336036,0.1431258,-0.1649815,0.2173996,-0.009400726,0.9619928,-0.2625786,0.01496686,0.03911457,0.08496948,1.196128,-1.72913,0,0,0,0,0,0,-0.1727703,-0.03934119,-0.2013613,-0.1167354,-0.3215379,0.1968825,0.9188163,-0.01056204,0.02111425,-0.0299184,-0.1138847,0.172263,0.361052,0.7302302,0.04210519,0.2326035,-2.672086,-3.502321,1.299647,-0.1727703,-0.03934119,-0.2013613,-0.1167354,-0.3215379,0.1968825,0.9188163,-0.01056204,0.02111425,-0.0299184,-0.1138847,0.172263,0.361052,0.7302302,0.04210519,0.2326035,-2.672086,-3.502321,1.299647,-0.1727703,-0.03934119,-0.2013613,-0.1167354,-0.3215379,0.1968825,0.9188163,-0.01056204,0.02111425,-0.0299184,-0.1138847,0.172263,0.361052,0.7302302,0.04210519,0.2326035,-2.672086,-3.502321,1.299647,-0.1727703,-0.03934119,-0.2013613,-0.1167354,-0.3215379,0.1968825,0.9188163,-0.01056204,0.02111425,-0.0299184,-0.1138847,0.172263,0.361052,0.7302302,0.04210519,0.2326035,-2.672086,-3.502321,1.299647,False,False,False,False,False,False,False,False,0,0,0,0
0.18,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1925162,-0.3342046,0.1435618,-0.1685749,0.2158732,0.001154561,0.9617588,-0.1977079,0.0143279,0.02602482,0.2160067,0.8401402,-1.316387,0,0,0,0,0,0,-0.169778,-0.03768361,-0.2009662,-0.1143253,-0.315901,0.1859669,0.9233378,0.02891866,0.02919876,-0.01635667,-0.220791,-0.04834593,0.5079906,1.974035,0.4042256,0.6780871,-5.34532,-11.03045,7.346932,-0.169778,-0.03768361,-0.2009662,-0.1143253,-0.315901,0.1859669,0.9233378,0.02891866,0.02919876,-0.01635667,-0.220791,-0.04834593,0.5079906,1.974035,0.4042256,0.6780871,-5.34532,-11.03045,7.346932,-0.169778,-0.03768361,-0.2009662,-0.1143253,-0.315901,0.1859669,0.9233378,0.02891866,0.02919876,-0.01635667,-0.220791,-0.04834593,0.5079906,1.974035,0.4042256,0.6780871,-5.34532,-11.03045,7.346932,-0.169778,-0.03768361,-0.2009662,-0.1143253,-0.315901,0.1859669,0.9233378,0.02891866,0.02919876,-0.01635667,-0.220791,-0.04834593,0.5079906,1.974035,0.4042256,0.6780871,-5.34532,-11.03045,7.346932,False,False,False,False,False,False,False,False,0,0,0,0
0.2,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1921038,-0.3343573,0.1439746,-0.1701193,0.2144114,0.003900588,0.9618066,-0.1681006,0.01332098,0.0230666,0.2343905,0.7256317,-1.102397,0,0,0,0,0,0,-0.1678366,-0.03656902,-0.2005714,-0.1146768,-0.3110124,0.1798816,0.9261551,0.05276661,0.03821881,-0.006014921,-0.2186881,-0.1873856,0.6143485,1.192398,0.4510024,0.5170873,0.1051456,-6.951986,5.317898,-0.1678366,-0.03656902,-0.2005714,-0.1146768,-0.3110124,0.1798816,0.9261551,0.05276661,0.03821881,-0.006014921,-0.2186881,-0.1873856,0.6143485,1.192398,0.4510024,0.5170873,0.1051456,-6.951986,5.317898,-0.1678366,-0.03656902,-0.2005714,-0.1146768,-0.3110124,0.1798816,0.9261551,0.05276661,0.03821881,-0.006014921,-0.2186881,-0.1873856,0.6143485,1.192398,0.4510024,0.5170873,0.1051456,-6.951986,5.317898,-0.1678366,-0.03656902,-0.2005714,-0.1146768,-0.3110124,0.1798816,0.9261551,0.05276661,0.03821881,-0.006014921,-0.2186881,-0.1873856,0.6143485,1.192398,0.4510024,0.5170873,0.1051456,-6.951986,5.317898,False,False,False,False,False,False,False,False,0,0,0,0
0.22,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.1906495,-0.3354947,0.1448848,-0.1654758,0.2081844,0.01634973,0.9638515,-0.1410937,-0.004647525,0.03225359,0.07942253,0.6879891,-1.001832,0,0,0,0,0,0,-0.163118,-0.03415673,-0.1996474,-0.1128529,-0.2989347,0.1663211,0.9328663,0.1007504,0.05842086,0.01288734,-0.2416124,-0.4544663,0.8044327,2.399189,1.010102,0.9451125,-1.146215,-13.35403,9.504203,-0.163118,-0.03415673,-0.1996474,-0.1128529,-0.2989347,0.1663211,0.9328663,0.1007504,0.05842086,0.01288734,-0.2416124,-0.4544663,0.8044327,2.399189,1.010102,0.9451125,-1.146215,-13.35403,9.504203,-0.163118,-0.03415673,-0.1996474,-0.1128529,-0.2989347,0.1663211,0.9328663,0.1007504,0.05842086,0.01288734,-0.2416124,-0.4544663,0.8044327,2.399189,1.010102,0.9451125,-1.146215,-13.35403,9.504203,-0.163118,-0.03415673,-0.1996474,-0.1128529,-0.2989347,0.1663211,0.9328663,0.1007504,0.05842086,0.01288734,-0.2416124,-0.4544663,0.8044327,2.399189,1.010102,0.9451125,-1.146215,-13.35403,9.504203,False,False,False,False,False,False,False,False,0,0,0,0
