Timestamp,LeftPositionX,LeftPositionY,LeftPositionZ,LeftRotationX,LeftRotationY,LeftRotationZ,LeftRotationW,LeftVelocityX,LeftVelocityY,LeftVelocityZ,LeftAngularVelocityX,LeftAngularVelocityY,LeftAngularVelocityZ,LeftAccelerationX,LeftAccelerationY,LeftAccelerationZ,LeftAngularAccelerationX,LeftAngularAccelerationY,LeftAngularAccelerationZ,RightPositionX,RightPositionY,RightPositionZ,RightRotationX,RightRotationY,RightRotationZ,RightRotationW,RightVelocityX,RightVelocityY,RightVelocityZ,RightAngularVelocityX,RightAngularVelocityY,RightAngularVelocityZ,RightAccelerationX,RightAccelerationY,RightAccelerationZ,RightAngularAccelerationX,RightAngularAccelerationY,RightAngularAccelerationZ,HMDPositionX,HMDPositionY,HMDPositionZ,HMDRotationX,HMDRotationY,HMDRotationZ,HMDRotationW,HMDVelocityX,HMDVelocityY,HMDVelocityZ,HMDAngularVelocityX,HMDAngularVelocityY,HMDAngularVelocityZ,HMDAccelerationX,HMDAccelerationY,HMDAccelerationZ,HMDAngularAccelerationX,HMDAngularAccelerationY,HMDAngularAccelerationZ,LeftEyePositionX,LeftEyePositionY,LeftEyePositionZ,LeftEyeRotationX,LeftEyeRotationY,LeftEyeRotationZ,LeftEyeRotationW,LeftEyeVelocityX,LeftEyeVelocityY,LeftEyeVelocityZ,LeftEyeAngularVelocityX,LeftEyeAngularVelocityY,LeftEyeAngularVelocityZ,LeftEyeAccelerationX,LeftEyeAccelerationY,LeftEyeAccelerationZ,LeftEyeAngularAccelerationX,LeftEyeAngularAccelerationY,LeftEyeAngularAccelerationZ,RightEyePositionX,RightEyePositionY,RightEyePositionZ,RightEyeRotationX,RightEyeRotationY,RightEyeRotationZ,RightEyeRotationW,RightEyeVelocityX,RightEyeVelocityY,RightEyeVelocityZ,RightEyeAngularVelocityX,RightEyeAngularVelocityY,RightEyeAngularVelocityZ,RightEyeAccelerationX,RightEyeAccelerationY,RightEyeAccelerationZ,RightEyeAngularAccelerationX,RightEyeAngularAccelerationY,RightEyeAngularAccelerationZ,CenterEyePositionX,CenterEyePositionY,CenterEyePositionZ,CenterEyeRotationX,CenterEyeRotationY,CenterEyeRotationZ,CenterEyeRotationW,CenterEyeVelocityX,CenterEyeVelocityY,CenterEyeVelocityZ,CenterEyeAngularVelocityX,CenterEyeAngularVelocityY,CenterEyeAngularVelocityZ,CenterEyeAccelerationX,CenterEyeAccelerationY,CenterEyeAccelerationZ,CenterEyeAngularAccelerationX,CenterEyeAngularAccelerationY,CenterEyeAngularAccelerationZ,PrimaryButtonStateLeft,SecondaryButtonStateLeft,PrimaryTouchStateLeft,SecondaryTouchStateLeft,PrimaryButtonStateRight,SecondaryButtonStateRight,PrimaryTouchStateRight,SecondaryTouchStateRight,TriggerValueLeft,GripValueLeft,TriggerValueRight,GripValueRight
0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,0,0,0,0,0,0,1,0,0,0,0,0,0,NaN,NaN,NaN,NaN,NaN,NaN,False,False,False,False,False,False,False,False,0,0,0,0
0.02,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05177876,-0.6224415,0.2369146,0.298228,0.0544107,0.1212442,0.9451981,0.02808004,-0.001709698,0.002102091,-0.09664676,-0.232025,0.2599147,0,0,0,0,0,0,-0.0009699166,0.001796573,0.004598856,-0.1012649,0.02958271,0.0154897,0.9942989,-0.01509403,0.0003872297,0.005251578,0.02882854,0.01380055,-0.1385245,-0.7547013,0.01936149,0.2625789,1.441427,0.6900273,-6.926225,-0.0009699166,0.001796573,0.004598856,-0.1012649,0.02958271,0.0154897,0.9942989,-0.01509403,0.0003872297,0.005251578,0.02882854,0.01380055,-0.1385245,-0.7547013,0.01936149,0.2625789,1.441427,0.6900273,-6.926225,-0.0009699166,0.001796573,0.004598856,-0.1012649,0.02958271,0.0154897,0.9942989,-0.01509403,0.0003872297,0.005251578,0.02882854,0.01380055,-0.1385245,-0.7547013,0.01936149,0.2625789,1.441427,0.6900273,-6.926225,-0.0009699166,0.001796573,0.004598856,-0.1012649,0.02958271,0.0154897,0.9942989,-0.01509403,0.0003872297,0.005251578,0.02882854,0.01380055,-0.1385245,-0.7547013,0.01936149,0.2625789,1.441427,0.6900273,-6.926225,False,False,False,False,False,False,False,False,0,0,0,0
0.04,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04811534,-0.6211382,0.2371045,0.2931793,0.053896,0.119277,0.9470555,-0.07375107,0.02899224,0.007256279,0.2412594,0.1724281,-0.08531843,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0.37751,-0.3641145,-0.1377856,-5.025383,-1.222976,5.187731,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0.37751,-0.3641145,-0.1377856,-5.025383,-1.222976,5.187731,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0.37751,-0.3641145,-0.1377856,-5.025383,-1.222976,5.187731,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0.37751,-0.3641145,-0.1377856,-5.025383,-1.222976,5.187731,False,False,False,False,False,False,False,False,0,0,0,0
0.06,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04811534,-0.6211382,0.2371045,0.2931793,0.053896,0.119277,0.9470555,-0.07375107,0.02899224,0.007256279,0.2412594,0.1724281,-0.08531843,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.08,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04811534,-0.6211382,0.2371045,0.2931793,0.053896,0.119277,0.9470555,-0.07375107,0.02899224,0.007256279,0.2412594,0.1724281,-0.08531843,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.09999999,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04811534,-0.6211382,0.2371045,0.2931793,0.053896,0.119277,0.9470555,-0.07375107,0.02899224,0.007256279,0.2412594,0.1724281,-0.08531843,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,-0.001970845,0.001264586,0.004930243,-0.09984101,0.02935916,0.02050598,0.9943588,-0.007543825,-0.00689506,0.002495865,-0.07167913,-0.01065897,-0.0347699,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.12,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04299469,-0.6202343,0.2367502,0.2842665,0.04239493,0.1307074,0.9488471,-0.05900446,0.02527092,0.004621234,0.2585181,0.1578047,-0.3191515,0,0,0,0,0,0,-0.002493069,0.0009469542,0.005091425,-0.09840733,0.02945648,0.01854299,0.9945373,-0.00694462,-0.003129991,0.003153811,-0.0441872,-0.001000671,0.03387573,0.02996022,0.1882534,0.03289727,1.374596,0.482915,3.432281,-0.002493069,0.0009469542,0.005091425,-0.09840733,0.02945648,0.01854299,0.9945373,-0.00694462,-0.003129991,0.003153811,-0.0441872,-0.001000671,0.03387573,0.02996022,0.1882534,0.03289727,1.374596,0.482915,3.432281,-0.002493069,0.0009469542,0.005091425,-0.09840733,0.02945648,0.01854299,0.9945373,-0.00694462,-0.003129991,0.003153811,-0.0441872,-0.001000671,0.03387573,0.02996022,0.1882534,0.03289727,1.374596,0.482915,3.432281,-0.002493069,0.0009469542,0.005091425,-0.09840733,0.02945648,0.01854299,0.9945373,-0.00694462,-0.003129991,0.003153811,-0.0441872,-0.001000671,0.03387573,0.02996022,0.1882534,0.03289727,1.374596,0.482915,3.432281,False,False,False,False,False,False,False,False,0,0,0,0
0.14,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04818246,-0.6233359,0.2359587,0.2970337,0.04047435,0.1372326,0.9440869,0.03176083,-0.03083296,-0.01264435,-0.1567992,0.09237249,-0.2322645,0,0,0,0,0,0,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,-0.3704617,0.2113903,0.1394484,2.209972,3.767236,2.485452,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,-0.3704617,0.2113903,0.1394484,2.209972,3.767236,2.485452,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,-0.3704617,0.2113903,0.1394484,2.209972,3.767236,2.485452,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,-0.3704617,0.2113903,0.1394484,2.209972,3.767236,2.485452,False,False,False,False,False,False,False,False,0,0,0,0
0.16,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.04818246,-0.6233359,0.2359587,0.2970337,0.04047435,0.1372326,0.9440869,0.03176083,-0.03083296,-0.01264435,-0.1567992,0.09237249,-0.2322645,0,0,0,0,0,0,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,0,0,0,0,0,0,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,0,0,0,0,0,0,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,0,0,0,0,0,0,-0.003535158,0.0012849,0.005566488,-0.09905707,0.02619779,0.01521373,0.9946205,-0.01435385,0.001097815,0.005942778,1.225344E-05,0.07434406,0.08358477,0,0,0,0,0,0,False,False,False,False,False,False,False,False,0,0,0,0
0.18,0,0,-0.055,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.05163753,-0.6232265,0.2363236,0.2998114,0.04810443,0.1246075,0.9446015,0.05600925,-0.0259524,-0.007330412,-0.200044,-0.01875845,0.1933508,0,0,0,0,0,0,-0.004263741,0.001266921,0.005880656,-0.09969802,0.02460925,0.01582717,0.9945875,-0.01835091,0.0003830546,0.007799625,0.008269167,0.09481535,0.03648797,-0.199853,-0.03573802,0.09284238,0.4128457,1.023565,-2.35484,-0.004263741,0.001266921,0.005880656,-0.09969802,0.02460925,0.01582717,0.9945875,-0.01835091,0.0003830546,0.007799625,0.008269167,0.09481535,0.03648797,-0.199853,-0.03573802,0.09284238,0.4128457,1.023565,-2.35484,-0.004263741,0.001266921,0.005880656,-0.09969802,0.02460925,0.01582717,0.9945875,-0.01835091,0.0003830546,0.007799625,0.008269167,0.09481535,0.03648797,-0.199853,-0.03573802,0.09284238,0.4128457,1.023565,-2.35484,-0.004263741,0.001266921,0.005880656,-0.09969802,0.02460925,0.01582717,0.9945875,-0.01835091,0.0003830546,0.007799625,0.008269167,0.09481535,0.03648797,-0.199853,-0.03573802,0.09284238,0.4128457,1.023565,-2.35484,False,False,False,False,False,False,False,False,0,0,0,0
