no,video_id,yielding,eHMIOn,distPed,p1,p2,camera,group,video_length
1,baseline_1,1,0,0,0,0,0,1,18000
2,baseline_2,0,1,0,0,0,0,1,10000
3,video_1,1,0,1,0,1,0,1,18000
4,video_2,1,0,2,0,1,0,1,18000
5,video_3,1,0,3,0,1,0,1,18000
6,video_4,1,0,4,0,1,0,1,18000
7,video_5,1,0,5,0,1,0,1,18000
8,video_6,1,0,1,1,0,1,1,18000
9,video_7,1,0,2,1,0,1,1,18000
10,video_8,1,0,3,1,0,1,1,18000
11,video_9,1,0,4,1,0,1,1,18000
12,video_10,1,0,5,1,0,1,1,18000
13,video_11,1,1,1,0,1,0,1,18000
14,video_12,1,1,2,0,1,0,1,18000
15,video_13,1,1,3,0,1,0,1,18000
16,video_14,1,1,4,0,1,0,1,18000
17,video_15,1,1,5,0,1,0,1,18000
18,video_16,1,1,1,1,0,1,1,18000
19,video_17,1,1,2,1,0,1,1,18000
20,video_18,1,1,3,1,0,1,1,18000
21,video_19,1,1,4,1,0,1,1,18000
22,video_20,1,1,5,1,0,1,1,18000
23,video_21,0,1,1,0,1,0,1,10000
24,video_22,0,1,2,0,1,0,1,10000
25,video_23,0,1,3,0,1,0,1,10000
26,video_24,0,1,4,0,1,0,1,10000
27,video_25,0,1,5,0,1,0,1,10000
28,video_26,0,1,1,1,0,1,1,10000
29,video_27,0,1,2,1,0,1,1,10000
30,video_28,0,1,3,1,0,1,1,10000
31,video_29,0,1,4,1,0,1,1,10000
32,video_30,0,1,5,1,0,1,1,10000
33,video_31,0,1,1,0,1,0,1,10000
34,video_32,0,1,2,0,1,0,1,10000
35,video_33,0,1,3,0,1,0,1,10000
36,video_34,0,1,4,0,1,0,1,10000
37,video_35,0,1,5,0,1,0,1,10000
38,video_36,0,1,1,1,0,1,1,10000
39,video_37,0,1,2,1,0,1,1,10000
40,video_38,0,1,3,1,0,1,1,10000
41,video_39,0,1,4,1,0,1,1,10000
42,video_40,0,1,5,1,0,1,1,10000
43,video_41,0,0,1,0,1,0,1,10000
44,video_42,0,0,2,0,1,0,1,10000
45,video_43,0,0,3,0,1,0,1,10000
46,video_44,0,0,4,0,1,0,1,10000
47,video_45,0,0,5,0,1,0,1,10000
48,video_46,0,0,1,1,0,1,1,10000
49,video_47,0,0,2,1,0,1,1,10000
50,video_48,0,0,3,1,0,1,1,10000
51,video_49,0,0,4,1,0,1,1,10000
52,video_50,0,0,5,1,0,1,1,10000
53,video_51,0,0,1,0,1,0,1,10000
54,video_52,0,0,2,0,1,0,1,10000
55,video_53,0,0,3,0,1,0,1,10000
56,video_54,0,0,4,0,1,0,1,10000
57,video_55,0,0,5,0,1,0,1,10000
58,video_56,0,0,1,1,0,1,1,10000
59,video_57,0,0,2,1,0,1,1,10000
60,video_58,0,0,3,1,0,1,1,10000
61,video_59,0,0,4,1,0,1,1,10000
62,video_60,0,0,5,1,0,1,1,10000
